PLAYER,TEAM,DATE,MATCHUP,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
Serge Ibaka,TOR,06/13/2019,TOR @ GSW,W,22,15,7,12,58.3,0,1,0,1,2,50,2,1,3,2,0,0,1,4,9
Serge Ibaka,TOR,06/10/2019,TOR vs. GSW,L,17,15,5,8,62.5,0,1,0,5,6,83.3,2,4,6,1,1,1,2,4,-5
Serge Ibaka,TOR,06/07/2019,TOR @ GSW,W,22,20,9,12,75,1,1,100,1,1,100,1,3,4,1,0,2,1,5,11
Serge Ibaka,TOR,06/05/2019,TOR @ GSW,W,22,6,2,4,50,0,0,-,2,2,100,1,4,5,1,2,6,2,4,0
Serge Ibaka,TOR,06/02/2019,TOR vs. GSW,L,16,7,3,7,42.9,1,1,100,0,0,-,3,7,10,0,2,0,0,3,3
Serge Ibaka,TOR,05/30/2019,TOR vs. GSW,W,17,5,2,7,28.6,0,2,0,1,2,50,2,1,3,1,0,1,2,3,-1
Serge Ibaka,TOR,05/25/2019,TOR vs. MIL,W,25,9,4,7,57.1,0,0,-,1,2,50,0,3,3,0,0,0,0,4,3
Serge Ibaka,TOR,05/23/2019,TOR @ MIL,W,19,6,1,4,25,0,0,-,4,4,100,0,6,6,0,0,0,0,0,9
Serge Ibaka,TOR,05/21/2019,TOR vs. MIL,W,24,17,7,12,58.3,0,3,0,3,3,100,4,9,13,2,1,0,1,3,24
Serge Ibaka,TOR,05/19/2019,TOR vs. MIL,W,14,5,2,9,22.2,1,3,33.3,0,0,-,2,4,6,0,1,1,0,2,-3
Serge Ibaka,TOR,05/17/2019,TOR @ MIL,L,27,8,4,9,44.4,0,2,0,0,2,0,2,8,10,3,0,0,4,4,-4
Serge Ibaka,TOR,05/15/2019,TOR @ MIL,L,17,4,2,6,33.3,0,2,0,0,0,-,1,3,4,1,1,1,0,2,-17
Serge Ibaka,TOR,05/12/2019,TOR vs. PHI,W,29,17,6,10,60,3,5,60,2,2,100,4,4,8,3,0,0,2,4,22
Serge Ibaka,TOR,05/09/2019,TOR @ PHI,L,22,9,3,10,30,0,3,0,3,4,75,0,3,3,1,0,1,1,6,-12
Serge Ibaka,TOR,05/07/2019,TOR vs. PHI,W,22,10,4,7,57.1,0,0,-,2,3,66.7,1,1,2,0,0,0,2,4,27
Serge Ibaka,TOR,05/05/2019,TOR @ PHI,W,32,12,6,12,50,0,3,0,0,0,-,2,7,9,0,0,3,0,2,-1
Serge Ibaka,TOR,05/02/2019,TOR @ PHI,L,16,4,2,6,33.3,0,0,-,0,0,-,0,5,5,0,1,0,1,1,4
Serge Ibaka,TOR,04/29/2019,TOR vs. PHI,L,13,2,1,5,20,0,1,0,0,0,-,1,0,1,0,0,0,1,4,-12
Serge Ibaka,TOR,04/27/2019,TOR vs. PHI,W,19,7,3,9,33.3,0,2,0,1,2,50,1,5,6,0,0,2,0,5,-9
Serge Ibaka,TOR,04/23/2019,TOR vs. ORL,W,19,10,5,8,62.5,0,1,0,0,1,0,1,3,4,2,2,0,1,5,11
Serge Ibaka,TOR,04/21/2019,TOR @ ORL,W,20,13,5,6,83.3,1,2,50,2,2,100,3,5,8,1,0,1,1,1,11
Serge Ibaka,TOR,04/19/2019,TOR @ ORL,W,21,6,3,9,33.3,0,2,0,0,0,-,0,8,8,2,0,1,0,4,0
Serge Ibaka,TOR,04/16/2019,TOR vs. ORL,W,24,13,4,8,50,1,2,50,4,4,100,1,7,8,0,0,2,2,2,10
Serge Ibaka,TOR,04/13/2019,TOR vs. ORL,L,19,5,2,6,33.3,1,1,100,0,0,-,1,7,8,1,0,1,1,3,1
Patrick McCaw,TOR,06/10/2019,TOR vs. GSW,L,1,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,-3
Patrick McCaw,TOR,06/07/2019,TOR @ GSW,W,2,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,-3
Patrick McCaw,TOR,06/05/2019,TOR @ GSW,W,2,0,0,0,-,0,0,-,0,0,-,0,0,0,1,0,0,0,0,-5
Patrick McCaw,TOR,05/30/2019,TOR vs. GSW,W,7,3,1,2,50,1,1,100,0,0,-,0,0,0,1,0,0,0,0,-3
Patrick McCaw,TOR,05/09/2019,TOR @ PHI,L,4,0,0,0,-,0,0,-,0,0,-,0,0,0,1,0,0,0,1,4
Patrick McCaw,TOR,05/07/2019,TOR vs. PHI,W,7,2,0,1,0,0,1,0,2,2,100,0,0,0,0,0,0,0,0,6
Patrick McCaw,TOR,05/05/2019,TOR @ PHI,W,5,0,0,1,0,0,0,-,0,0,-,1,0,1,1,1,0,0,1,-1
Patrick McCaw,TOR,05/02/2019,TOR @ PHI,L,6,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,-3
Patrick McCaw,TOR,04/27/2019,TOR vs. PHI,W,3,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,1,0,-6
Patrick McCaw,TOR,04/23/2019,TOR vs. ORL,W,8,0,0,1,0,0,1,0,0,0,-,1,1,2,0,1,0,0,1,-11
Patrick McCaw,TOR,04/21/2019,TOR @ ORL,W,3,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,1,0
Pascal Siakam,TOR,06/13/2019,TOR @ GSW,W,46,26,10,17,58.8,3,6,50,3,4,75,2,8,10,3,1,1,2,2,2
Pascal Siakam,TOR,06/10/2019,TOR vs. GSW,L,34,12,6,15,40,0,4,0,0,1,0,1,3,4,2,1,0,2,2,-5
Pascal Siakam,TOR,06/07/2019,TOR @ GSW,W,41,19,6,14,42.9,0,2,0,7,8,87.5,2,4,6,1,0,1,1,0,5
Pascal Siakam,TOR,06/05/2019,TOR @ GSW,W,39,18,8,16,50,0,3,0,2,2,100,1,8,9,6,0,0,2,0,22
Pascal Siakam,TOR,06/02/2019,TOR vs. GSW,L,41,12,5,18,27.8,0,3,0,2,4,50,3,5,8,5,0,0,0,4,-4
Pascal Siakam,TOR,05/30/2019,TOR vs. GSW,W,40,32,14,17,82.4,2,3,66.7,2,2,100,3,5,8,5,1,2,2,3,4
Pascal Siakam,TOR,05/25/2019,TOR vs. MIL,W,41,18,7,17,41.2,1,3,33.3,3,4,75,2,2,4,0,1,1,2,2,8
Pascal Siakam,TOR,05/23/2019,TOR @ MIL,W,36,14,5,15,33.3,2,7,28.6,2,2,100,3,10,13,2,1,3,1,4,8
Pascal Siakam,TOR,05/21/2019,TOR vs. MIL,W,23,7,3,6,50,0,2,0,1,1,100,1,3,4,6,0,0,2,5,2
Pascal Siakam,TOR,05/19/2019,TOR vs. MIL,W,51,25,9,18,50,2,5,40,5,9,55.6,1,10,11,1,3,1,3,4,12
Pascal Siakam,TOR,05/17/2019,TOR @ MIL,L,26,8,4,9,44.4,0,2,0,0,0,-,1,0,1,2,1,0,0,6,-21
Pascal Siakam,TOR,05/15/2019,TOR @ MIL,L,42,15,6,20,30,2,9,22.2,1,2,50,2,4,6,3,0,1,1,3,1
Pascal Siakam,TOR,05/12/2019,TOR vs. PHI,W,38,11,4,11,36.4,0,2,0,3,4,75,2,9,11,2,2,0,1,3,-6
Pascal Siakam,TOR,05/09/2019,TOR @ PHI,L,33,21,8,16,50,2,6,33.3,3,4,75,4,2,6,3,2,0,3,3,-21
Pascal Siakam,TOR,05/07/2019,TOR vs. PHI,W,34,25,7,19,36.8,2,7,28.6,9,10,90,0,8,8,3,2,1,1,1,35
Pascal Siakam,TOR,05/05/2019,TOR @ PHI,W,29,9,2,10,20,0,4,0,5,6,83.3,0,3,3,2,3,0,0,4,-5
Pascal Siakam,TOR,05/02/2019,TOR @ PHI,L,34,20,7,15,46.7,0,3,0,6,8,75,2,1,3,1,1,1,0,3,-18
Pascal Siakam,TOR,04/29/2019,TOR vs. PHI,L,40,21,9,25,36,2,7,28.6,1,2,50,2,5,7,3,4,1,2,5,0
Pascal Siakam,TOR,04/27/2019,TOR vs. PHI,W,35,29,12,15,80,3,4,75,2,4,50,0,7,7,1,0,0,3,3,15
Pascal Siakam,TOR,04/23/2019,TOR vs. ORL,W,32,24,8,16,50,3,5,60,5,6,83.3,0,6,6,4,0,1,2,2,22
Pascal Siakam,TOR,04/21/2019,TOR @ ORL,W,36,16,7,14,50,2,6,33.3,0,0,-,0,6,6,2,0,1,2,0,11
Pascal Siakam,TOR,04/19/2019,TOR @ ORL,W,42,30,13,20,65,3,4,75,1,1,100,3,8,11,4,0,0,0,3,13
Pascal Siakam,TOR,04/16/2019,TOR vs. ORL,W,37,19,8,16,50,0,3,0,3,3,100,2,8,10,1,0,0,0,2,21
Pascal Siakam,TOR,04/13/2019,TOR vs. ORL,L,42,24,12,24,50,0,4,0,0,0,-,3,6,9,4,1,2,1,3,-4
Norman Powell,TOR,06/13/2019,TOR @ GSW,W,11,0,0,2,0,0,1,0,0,0,-,0,1,1,0,0,0,1,2,5
Norman Powell,TOR,06/10/2019,TOR vs. GSW,L,12,2,1,2,50,0,1,0,0,0,-,0,2,2,1,0,0,0,0,6
Norman Powell,TOR,06/07/2019,TOR @ GSW,W,11,0,0,1,0,0,0,-,0,0,-,0,1,1,1,1,0,0,0,8
Norman Powell,TOR,06/05/2019,TOR @ GSW,W,6,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,-2
Norman Powell,TOR,06/02/2019,TOR vs. GSW,L,21,7,3,7,42.9,1,3,33.3,0,0,-,0,1,1,2,1,0,1,0,13
Norman Powell,TOR,05/30/2019,TOR vs. GSW,W,5,2,0,1,0,0,1,0,2,2,100,0,1,1,0,0,0,0,2,2
Norman Powell,TOR,05/25/2019,TOR vs. MIL,W,17,9,3,5,60,1,1,100,2,3,66.7,0,4,4,0,0,0,1,1,6
Norman Powell,TOR,05/23/2019,TOR @ MIL,W,24,8,2,7,28.6,1,4,25,3,6,50,0,4,4,1,0,0,1,1,3
Norman Powell,TOR,05/21/2019,TOR vs. MIL,W,32,18,6,18,33.3,4,13,30.8,2,3,66.7,0,5,5,3,1,0,3,3,29
Norman Powell,TOR,05/19/2019,TOR vs. MIL,W,30,19,7,13,53.8,3,5,60,2,2,100,1,3,4,3,1,0,2,6,0
Norman Powell,TOR,05/17/2019,TOR @ MIL,L,25,14,6,9,66.7,2,4,50,0,0,-,0,4,4,2,0,0,1,4,-5
Norman Powell,TOR,05/15/2019,TOR @ MIL,L,10,6,2,5,40,2,4,50,0,0,-,0,0,0,0,0,0,0,1,-6
Norman Powell,TOR,05/09/2019,TOR @ PHI,L,9,5,2,2,100,1,1,100,0,0,-,0,0,0,0,1,0,0,1,6
Norman Powell,TOR,05/07/2019,TOR vs. PHI,W,10,7,3,6,50,1,4,25,0,0,-,1,1,2,3,0,0,0,2,13
Norman Powell,TOR,05/05/2019,TOR @ PHI,W,4,0,0,1,0,0,1,0,0,0,-,0,1,1,1,0,0,0,0,-2
Norman Powell,TOR,05/02/2019,TOR @ PHI,L,16,6,2,5,40,2,3,66.7,0,0,-,0,0,0,2,0,0,0,0,-12
Norman Powell,TOR,04/29/2019,TOR vs. PHI,L,16,3,1,3,33.3,1,1,100,0,0,-,0,1,1,1,0,0,0,0,-17
Norman Powell,TOR,04/27/2019,TOR vs. PHI,W,12,0,0,2,0,0,0,-,0,0,-,0,2,2,2,0,0,1,0,-7
Norman Powell,TOR,04/23/2019,TOR vs. ORL,W,18,11,5,9,55.6,1,2,50,0,0,-,2,2,4,2,1,0,0,2,5
Norman Powell,TOR,04/21/2019,TOR @ ORL,W,21,16,7,9,77.8,1,2,50,1,1,100,0,4,4,1,0,0,0,2,14
Norman Powell,TOR,04/19/2019,TOR @ ORL,W,14,8,3,5,60,2,3,66.7,0,0,-,1,1,2,0,1,0,1,1,2
Norman Powell,TOR,04/16/2019,TOR vs. ORL,W,26,5,2,10,20,1,6,16.7,0,0,-,0,4,4,1,2,0,0,3,6
Norman Powell,TOR,04/13/2019,TOR vs. ORL,L,16,4,1,4,25,0,2,0,2,2,100,0,4,4,0,0,0,0,0,1
Marc Gasol,TOR,06/13/2019,TOR @ GSW,W,27,3,0,5,0,0,2,0,3,4,75,3,6,9,4,0,0,1,4,-7
Marc Gasol,TOR,06/10/2019,TOR vs. GSW,L,31,17,4,6,66.7,2,3,66.7,7,8,87.5,0,8,8,2,0,0,1,5,4
Marc Gasol,TOR,06/07/2019,TOR @ GSW,W,28,9,3,8,37.5,1,4,25,2,2,100,2,5,7,3,1,0,1,2,1
Marc Gasol,TOR,06/05/2019,TOR @ GSW,W,26,17,6,11,54.5,1,4,25,4,4,100,0,7,7,4,0,0,2,4,14
Marc Gasol,TOR,06/02/2019,TOR vs. GSW,L,31,6,2,7,28.6,0,2,0,2,2,100,0,6,6,2,0,1,2,4,-6
Marc Gasol,TOR,05/30/2019,TOR vs. GSW,W,30,20,6,10,60,2,4,50,6,6,100,0,7,7,1,2,1,0,6,8
Marc Gasol,TOR,05/25/2019,TOR vs. MIL,W,26,6,2,3,66.7,2,2,100,0,0,-,0,3,3,2,1,1,0,5,1
Marc Gasol,TOR,05/23/2019,TOR @ MIL,W,29,4,1,6,16.7,1,4,25,1,2,50,2,4,6,0,0,1,1,3,-4
Marc Gasol,TOR,05/21/2019,TOR vs. MIL,W,31,17,6,11,54.5,3,6,50,2,2,100,0,5,5,7,1,2,0,3,2
Marc Gasol,TOR,05/19/2019,TOR vs. MIL,W,45,16,5,10,50,4,8,50,2,2,100,1,11,12,7,1,5,3,5,5
Marc Gasol,TOR,05/17/2019,TOR @ MIL,L,19,2,1,9,11.1,0,2,0,0,0,-,0,5,5,1,0,1,2,2,-14
Marc Gasol,TOR,05/15/2019,TOR @ MIL,L,40,6,2,11,18.2,2,7,28.6,0,0,-,0,12,12,5,0,2,1,3,1
Marc Gasol,TOR,05/12/2019,TOR vs. PHI,W,45,7,3,8,37.5,1,4,25,0,0,-,2,9,11,0,0,3,0,4,-10
Marc Gasol,TOR,05/09/2019,TOR @ PHI,L,36,7,3,8,37.5,0,3,0,1,2,50,1,2,3,4,1,2,1,4,-14
Marc Gasol,TOR,05/07/2019,TOR vs. PHI,W,33,11,4,6,66.7,3,5,60,0,0,-,0,5,5,3,2,0,0,4,14
Marc Gasol,TOR,05/05/2019,TOR @ PHI,W,39,16,7,13,53.8,2,7,28.6,0,0,-,1,4,5,3,0,0,3,5,13
Marc Gasol,TOR,05/02/2019,TOR @ PHI,L,29,7,2,6,33.3,0,1,0,3,4,75,1,5,6,2,2,2,1,3,-26
Marc Gasol,TOR,04/29/2019,TOR vs. PHI,L,35,5,1,6,16.7,1,4,25,2,2,100,1,6,7,5,0,1,0,3,7
Marc Gasol,TOR,04/27/2019,TOR vs. PHI,W,26,8,3,8,37.5,2,4,50,0,0,-,0,2,2,4,0,1,0,3,29
Marc Gasol,TOR,04/23/2019,TOR vs. ORL,W,24,9,2,5,40,1,3,33.3,4,4,100,1,8,9,2,0,1,2,3,24
Marc Gasol,TOR,04/21/2019,TOR @ ORL,W,25,2,1,3,33.3,0,0,-,0,0,-,0,6,6,2,2,2,0,2,11
Marc Gasol,TOR,04/19/2019,TOR @ ORL,W,26,9,4,6,66.7,1,1,100,0,0,-,0,4,4,1,4,0,0,4,5
Marc Gasol,TOR,04/16/2019,TOR vs. ORL,W,22,9,3,5,60,3,4,75,0,0,-,0,3,3,5,4,0,0,3,22
Marc Gasol,TOR,04/13/2019,TOR vs. ORL,L,32,13,5,9,55.6,2,5,40,1,2,50,1,5,6,4,0,0,0,0,-2
Malcolm Miller,TOR,06/05/2019,TOR @ GSW,W,1,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,2
Malcolm Miller,TOR,05/21/2019,TOR vs. MIL,W,2,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,-5
Malcolm Miller,TOR,05/17/2019,TOR @ MIL,L,4,2,0,0,-,0,0,-,2,2,100,0,1,1,0,0,0,0,1,-2
Malcolm Miller,TOR,05/09/2019,TOR @ PHI,L,4,6,2,3,66.7,1,2,50,1,2,50,0,0,0,1,0,1,0,0,8
Malcolm Miller,TOR,05/07/2019,TOR vs. PHI,W,2,0,0,1,0,0,1,0,0,0,-,0,0,0,0,0,0,0,0,-4
Malcolm Miller,TOR,05/02/2019,TOR @ PHI,L,1,0,0,0,-,0,0,-,0,0,-,0,1,1,0,0,0,0,0,3
Malcolm Miller,TOR,04/27/2019,TOR vs. PHI,W,3,0,0,2,0,0,1,0,0,0,-,0,0,0,0,0,0,0,0,-7
Malcolm Miller,TOR,04/23/2019,TOR vs. ORL,W,6,0,0,2,0,0,2,0,0,0,-,0,2,2,0,0,0,1,2,-16
Malcolm Miller,TOR,04/21/2019,TOR @ ORL,W,2,0,0,0,-,0,0,-,0,0,-,0,1,1,0,0,0,0,0,-3
Malcolm Miller,TOR,04/16/2019,TOR vs. ORL,W,4,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,-2
Kyle Lowry,TOR,06/13/2019,TOR @ GSW,W,42,26,9,16,56.3,4,7,57.1,4,6,66.7,2,5,7,10,3,0,3,5,16
Kyle Lowry,TOR,06/10/2019,TOR vs. GSW,L,42,18,8,16,50,1,6,16.7,1,2,50,1,3,4,6,1,2,2,4,4
Kyle Lowry,TOR,06/07/2019,TOR @ GSW,W,37,10,3,12,25,0,4,0,4,4,100,0,2,2,7,3,0,2,4,5
Kyle Lowry,TOR,06/05/2019,TOR @ GSW,W,43,23,8,16,50,5,9,55.6,2,2,100,0,4,4,9,1,1,3,3,14
Kyle Lowry,TOR,06/02/2019,TOR vs. GSW,L,28,13,4,11,36.4,3,7,42.9,2,3,66.7,0,1,1,2,1,0,2,6,-17
