PLAYER,TEAM,DATE,MATCHUP,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
Kyle Lowry,TOR,05/30/2019,TOR vs. GSW,W,36,7,2,9,22.2,1,5,20,2,2,100,0,6,6,9,1,0,3,5,11
Kyle Lowry,TOR,05/25/2019,TOR vs. MIL,W,41,17,6,10,60,3,4,75,2,2,100,0,5,5,8,1,0,1,5,0
Kyle Lowry,TOR,05/23/2019,TOR @ MIL,W,39,17,4,11,36.4,2,8,25,7,8,87.5,1,6,7,6,1,0,2,3,0
Kyle Lowry,TOR,05/21/2019,TOR vs. MIL,W,34,25,6,11,54.5,3,7,42.9,10,10,100,2,3,5,6,0,0,1,3,5
Kyle Lowry,TOR,05/19/2019,TOR vs. MIL,W,32,11,4,7,57.1,3,6,50,0,0,-,1,3,4,5,1,0,1,6,15
Kyle Lowry,TOR,05/17/2019,TOR @ MIL,L,39,15,4,13,30.8,2,9,22.2,5,8,62.5,1,3,4,4,0,0,2,4,-19
Kyle Lowry,TOR,05/15/2019,TOR @ MIL,L,40,30,10,15,66.7,7,9,77.8,3,4,75,3,5,8,2,1,0,4,5,-10
Kyle Lowry,TOR,05/12/2019,TOR vs. PHI,W,39,10,4,13,30.8,1,7,14.3,1,1,100,2,4,6,6,2,0,2,4,2
Kyle Lowry,TOR,05/09/2019,TOR @ PHI,L,39,13,5,11,45.5,3,7,42.9,0,0,-,1,4,5,6,1,0,1,3,-11
Kyle Lowry,TOR,05/07/2019,TOR vs. PHI,W,34,19,5,9,55.6,2,5,40,7,8,87.5,0,6,6,5,1,1,3,4,31
Kyle Lowry,TOR,05/05/2019,TOR @ PHI,W,41,14,6,13,46.2,2,6,33.3,0,0,-,1,5,6,7,0,0,1,3,11
Kyle Lowry,TOR,05/02/2019,TOR @ PHI,L,38,7,2,10,20,0,4,0,3,5,60,0,5,5,5,1,0,2,4,-28
Kyle Lowry,TOR,04/29/2019,TOR vs. PHI,L,42,20,7,16,43.8,2,6,33.3,4,4,100,1,4,5,5,1,0,3,3,1
Kyle Lowry,TOR,04/27/2019,TOR vs. PHI,W,38,9,4,10,40,0,4,0,1,1,100,1,2,3,8,1,1,1,5,25
Kyle Lowry,TOR,04/23/2019,TOR vs. ORL,W,27,14,6,10,60,2,4,50,0,0,-,0,4,4,9,1,0,2,4,31
Kyle Lowry,TOR,04/21/2019,TOR @ ORL,W,39,9,3,8,37.5,2,5,40,1,2,50,1,3,4,9,4,0,6,2,26
Kyle Lowry,TOR,04/19/2019,TOR @ ORL,W,40,12,4,10,40,2,6,33.3,2,2,100,1,4,5,10,1,1,3,4,8
Kyle Lowry,TOR,04/16/2019,TOR vs. ORL,W,38,22,8,13,61.5,2,4,50,4,5,80,2,2,4,7,2,1,2,4,30
Kyle Lowry,TOR,04/13/2019,TOR vs. ORL,L,34,0,0,7,0,0,6,0,0,2,0,0,7,7,8,2,0,2,3,11
Kawhi Leonard,TOR,06/13/2019,TOR @ GSW,W,41,22,7,16,43.8,1,5,20,7,8,87.5,1,5,6,3,2,1,2,4,-2
Kawhi Leonard,TOR,06/10/2019,TOR vs. GSW,L,41,26,9,24,37.5,2,7,28.6,6,8,75,6,6,12,6,2,2,5,0,1
Kawhi Leonard,TOR,06/07/2019,TOR @ GSW,W,41,36,11,22,50,5,9,55.6,9,9,100,1,11,12,2,4,1,0,4,13
Kawhi Leonard,TOR,06/05/2019,TOR @ GSW,W,38,30,9,17,52.9,2,6,33.3,10,11,90.9,2,5,7,6,2,2,4,3,6
Kawhi Leonard,TOR,06/02/2019,TOR vs. GSW,L,39,34,8,20,40,2,9,22.2,16,16,100,5,9,14,3,1,1,5,1,-14
Kawhi Leonard,TOR,05/30/2019,TOR vs. GSW,W,43,23,5,14,35.7,3,6,50,10,12,83.3,1,7,8,5,1,0,2,3,11
Kawhi Leonard,TOR,05/25/2019,TOR vs. MIL,W,41,27,9,22,40.9,1,8,12.5,8,11,72.7,4,13,17,7,2,2,6,3,7
Kawhi Leonard,TOR,05/23/2019,TOR @ MIL,W,40,35,11,25,44,5,8,62.5,8,9,88.9,3,4,7,9,2,0,1,4,3
Kawhi Leonard,TOR,05/21/2019,TOR vs. MIL,W,34,19,6,13,46.2,1,3,33.3,6,8,75,2,5,7,1,4,2,2,2,16
Kawhi Leonard,TOR,05/19/2019,TOR vs. MIL,W,52,36,11,25,44,2,4,50,12,13,92.3,2,7,9,5,2,1,5,2,10
Kawhi Leonard,TOR,05/17/2019,TOR @ MIL,L,38,31,10,18,55.6,1,4,25,10,10,100,1,7,8,2,0,1,2,4,-19
Kawhi Leonard,TOR,05/15/2019,TOR @ MIL,L,42,31,10,26,38.5,1,5,20,10,10,100,1,8,9,2,3,0,3,2,-4
Kawhi Leonard,TOR,05/12/2019,TOR vs. PHI,W,43,41,16,39,41,2,9,22.2,7,8,87.5,4,4,8,3,3,0,4,1,-2
Kawhi Leonard,TOR,05/09/2019,TOR @ PHI,L,40,29,9,20,45,0,4,0,11,12,91.7,1,11,12,5,1,0,4,2,-10
Kawhi Leonard,TOR,05/07/2019,TOR vs. PHI,W,36,21,7,16,43.8,0,4,0,7,8,87.5,2,11,13,4,2,0,0,1,20
Kawhi Leonard,TOR,05/05/2019,TOR @ PHI,W,43,39,13,20,65,5,7,71.4,8,12,66.7,3,11,14,5,0,0,7,2,7
Kawhi Leonard,TOR,05/02/2019,TOR @ PHI,L,37,33,13,22,59.1,2,4,50,5,5,100,3,1,4,3,0,1,5,2,-11
Kawhi Leonard,TOR,04/29/2019,TOR vs. PHI,L,42,35,13,24,54.2,3,10,30,6,7,85.7,3,4,7,6,1,0,1,2,4
Kawhi Leonard,TOR,04/27/2019,TOR vs. PHI,W,38,45,16,23,69.6,3,7,42.9,10,11,90.9,0,11,11,2,2,1,2,1,26
Kawhi Leonard,TOR,04/23/2019,TOR vs. ORL,W,32,27,8,11,72.7,5,5,100,6,6,100,3,4,7,2,1,0,2,1,38
Kawhi Leonard,TOR,04/21/2019,TOR @ ORL,W,35,34,12,20,60,2,5,40,8,9,88.9,3,3,6,2,2,2,1,3,20
Kawhi Leonard,TOR,04/19/2019,TOR @ ORL,W,37,16,5,19,26.3,0,3,0,6,7,85.7,2,8,10,4,1,0,6,3,1
Kawhi Leonard,TOR,04/16/2019,TOR vs. ORL,W,33,37,15,22,68.2,4,8,50,3,3,100,0,4,4,4,2,0,1,3,37
Kawhi Leonard,TOR,04/13/2019,TOR vs. ORL,L,33,25,10,18,55.6,3,5,60,2,3,66.7,1,5,6,3,0,0,4,3,-2
Jodie Meeks,TOR,06/05/2019,TOR @ GSW,W,1,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,2
Jodie Meeks,TOR,05/21/2019,TOR vs. MIL,W,3,0,0,2,0,0,1,0,0,0,-,0,1,1,0,0,0,0,0,-3
Jodie Meeks,TOR,05/19/2019,TOR vs. MIL,W,1,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,-2
Jodie Meeks,TOR,05/17/2019,TOR @ MIL,L,8,5,2,5,40,1,2,50,0,0,-,0,0,0,0,1,0,1,1,-1
Jodie Meeks,TOR,05/09/2019,TOR @ PHI,L,4,2,1,2,50,0,1,0,0,0,-,0,0,0,0,1,0,0,0,8
Jodie Meeks,TOR,05/07/2019,TOR vs. PHI,W,7,3,1,1,100,1,1,100,0,0,-,0,0,0,0,0,0,0,0,6
Jodie Meeks,TOR,05/02/2019,TOR @ PHI,L,5,4,2,3,66.7,0,1,0,0,0,-,0,1,1,0,1,0,0,0,3
Jodie Meeks,TOR,04/29/2019,TOR vs. PHI,L,2,0,0,1,0,0,1,0,0,0,-,0,0,0,0,0,0,1,0,-4
Jodie Meeks,TOR,04/27/2019,TOR vs. PHI,W,4,0,0,1,0,0,0,-,0,0,-,0,1,1,0,0,0,0,1,-9
Jodie Meeks,TOR,04/23/2019,TOR vs. ORL,W,14,5,2,8,25,0,3,0,1,2,50,0,3,3,0,0,1,0,3,-15
Jodie Meeks,TOR,04/21/2019,TOR @ ORL,W,5,0,0,1,0,0,0,-,0,0,-,0,2,2,0,0,0,0,0,1
Jodie Meeks,TOR,04/19/2019,TOR @ ORL,W,2,0,0,0,-,0,0,-,0,0,-,0,0,0,0,1,0,0,1,-3
Jodie Meeks,TOR,04/16/2019,TOR vs. ORL,W,8,0,0,3,0,0,3,0,0,0,-,0,1,1,0,0,0,1,1,-5
Jodie Meeks,TOR,04/13/2019,TOR vs. ORL,L,3,3,1,2,50,0,0,-,1,1,100,0,0,0,1,0,0,0,0,4
Jeremy Lin,TOR,06/05/2019,TOR @ GSW,W,1,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,2
Jeremy Lin,TOR,05/21/2019,TOR vs. MIL,W,2,0,0,1,0,0,0,-,0,0,-,0,0,0,0,0,0,0,0,-5
Jeremy Lin,TOR,05/17/2019,TOR @ MIL,L,3,0,0,1,0,0,0,-,0,0,-,0,0,0,2,0,0,0,0,-1
Jeremy Lin,TOR,05/07/2019,TOR vs. PHI,W,5,3,1,2,50,1,1,100,0,0,-,0,0,0,1,1,0,0,0,3
Jeremy Lin,TOR,04/27/2019,TOR vs. PHI,W,3,0,0,2,0,0,0,-,0,0,-,0,1,1,0,0,0,1,0,-6
Jeremy Lin,TOR,04/23/2019,TOR vs. ORL,W,6,2,0,1,0,0,1,0,2,2,100,0,0,0,0,0,0,1,1,-16
Jeremy Lin,TOR,04/21/2019,TOR @ ORL,W,3,0,0,1,0,0,0,-,0,0,-,0,2,2,0,0,0,3,0,0
Jeremy Lin,TOR,04/16/2019,TOR vs. ORL,W,4,4,1,1,100,0,0,-,2,2,100,0,0,0,1,0,0,0,1,-2
Fred VanVleet,TOR,06/13/2019,TOR @ GSW,W,34,22,6,14,42.9,5,11,45.5,5,5,100,1,1,2,0,1,0,1,1,-10
Fred VanVleet,TOR,06/10/2019,TOR vs. GSW,L,27,11,3,7,42.9,3,6,50,2,2,100,0,2,2,1,0,0,0,3,-12
Fred VanVleet,TOR,06/07/2019,TOR @ GSW,W,29,8,3,9,33.3,2,5,40,0,0,-,0,4,4,6,0,0,2,1,12
Fred VanVleet,TOR,06/05/2019,TOR @ GSW,W,33,11,4,8,50,3,6,50,0,0,-,1,2,3,2,3,0,0,3,4
Fred VanVleet,TOR,06/02/2019,TOR vs. GSW,L,38,17,7,17,41.2,2,8,25,1,1,100,2,2,4,2,3,0,2,2,3
Fred VanVleet,TOR,05/30/2019,TOR vs. GSW,W,33,15,5,8,62.5,1,4,25,4,6,66.7,0,1,1,2,0,0,1,3,11
Fred VanVleet,TOR,05/25/2019,TOR vs. MIL,W,34,14,5,6,83.3,4,5,80,0,0,-,0,0,0,2,0,0,0,2,12
Fred VanVleet,TOR,05/23/2019,TOR @ MIL,W,37,21,7,13,53.8,7,9,77.8,0,0,-,1,0,1,1,1,0,0,1,28
Fred VanVleet,TOR,05/21/2019,TOR vs. MIL,W,25,13,5,6,83.3,3,3,100,0,0,-,0,1,1,6,1,0,1,0,25
Fred VanVleet,TOR,05/19/2019,TOR vs. MIL,W,31,3,1,11,9.1,1,8,12.5,0,0,-,0,3,3,6,0,1,3,5,-4
Fred VanVleet,TOR,05/17/2019,TOR @ MIL,L,24,5,2,5,40,1,1,100,0,0,-,0,0,0,2,0,2,1,3,-12
Fred VanVleet,TOR,05/15/2019,TOR @ MIL,L,13,2,1,4,25,0,2,0,0,0,-,0,1,1,2,1,0,0,2,-10
Fred VanVleet,TOR,05/12/2019,TOR vs. PHI,W,15,4,0,5,0,0,2,0,4,4,100,1,0,1,0,2,0,1,4,10
Fred VanVleet,TOR,05/09/2019,TOR @ PHI,L,16,1,0,1,0,0,1,0,1,2,50,1,1,2,3,1,0,0,1,-4
Fred VanVleet,TOR,05/07/2019,TOR vs. PHI,W,16,5,2,5,40,1,4,25,0,0,-,0,0,0,1,1,0,2,0,11
Fred VanVleet,TOR,05/05/2019,TOR @ PHI,W,7,0,0,2,0,0,0,-,0,0,-,0,0,0,0,0,0,0,1,-6
Fred VanVleet,TOR,05/02/2019,TOR @ PHI,L,21,1,0,7,0,0,5,0,1,1,100,0,2,2,1,1,0,0,2,-10
Fred VanVleet,TOR,04/29/2019,TOR vs. PHI,L,18,0,0,2,0,0,1,0,0,0,-,0,4,4,0,2,1,0,2,-18
Fred VanVleet,TOR,04/27/2019,TOR vs. PHI,W,24,3,1,2,50,0,1,0,1,4,25,0,2,2,3,0,1,0,2,3
Fred VanVleet,TOR,04/23/2019,TOR vs. ORL,W,21,7,3,8,37.5,1,4,25,0,0,-,0,1,1,10,0,0,2,2,10
Fred VanVleet,TOR,04/21/2019,TOR @ ORL,W,23,9,2,5,40,1,2,50,4,4,100,0,2,2,4,1,0,1,4,9
Fred VanVleet,TOR,04/19/2019,TOR @ ORL,W,24,4,2,7,28.6,0,2,0,0,0,-,0,2,2,3,0,0,2,1,-11
Fred VanVleet,TOR,04/16/2019,TOR vs. ORL,W,21,2,1,5,20,0,2,0,0,0,-,0,0,0,4,0,1,0,1,8
Fred VanVleet,TOR,04/13/2019,TOR vs. ORL,L,27,14,5,9,55.6,3,6,50,1,2,50,0,2,2,1,0,0,2,3,-16
Eric Moreland,TOR,05/21/2019,TOR vs. MIL,W,2,0,0,0,-,0,0,-,0,0,-,0,1,1,0,0,0,0,0,-5
Eric Moreland,TOR,05/17/2019,TOR @ MIL,L,3,0,0,0,-,0,0,-,0,0,-,0,3,3,1,0,0,0,1,-1
Eric Moreland,TOR,05/07/2019,TOR vs. PHI,W,6,2,1,1,100,0,0,-,0,0,-,0,1,1,2,0,0,0,0,3
Eric Moreland,TOR,05/02/2019,TOR @ PHI,L,3,0,0,0,-,0,0,-,0,0,-,1,1,2,0,0,0,0,0,1
Eric Moreland,TOR,04/27/2019,TOR vs. PHI,W,3,0,0,0,-,0,0,-,0,0,-,0,2,2,0,0,0,0,1,-7
Eric Moreland,TOR,04/23/2019,TOR vs. ORL,W,5,0,0,1,0,0,0,-,0,0,-,0,1,1,0,0,0,0,2,-16
Eric Moreland,TOR,04/21/2019,TOR @ ORL,W,3,0,0,0,-,0,0,-,0,0,-,0,2,2,0,0,0,0,1,0
Eric Moreland,TOR,04/16/2019,TOR vs. ORL,W,3,0,0,0,-,0,0,-,0,0,-,1,1,2,0,0,0,0,0,-3
Danny Green,TOR,06/13/2019,TOR @ GSW,W,18,0,0,0,-,0,0,-,0,0,-,0,1,1,3,1,0,1,1,7
Danny Green,TOR,06/10/2019,TOR vs. GSW,L,33,4,2,7,28.6,0,4,0,0,0,-,3,2,5,0,1,0,1,1,5
Danny Green,TOR,06/07/2019,TOR @ GSW,W,30,3,1,8,12.5,1,7,14.3,0,0,-,1,2,3,1,3,0,2,5,13
Danny Green,TOR,06/05/2019,TOR @ GSW,W,27,18,6,10,60,6,10,60,0,0,-,0,5,5,1,1,1,1,5,11
Danny Green,TOR,06/02/2019,TOR vs. GSW,L,26,8,3,7,42.9,2,5,40,0,0,-,2,3,5,1,0,0,3,2,-3
Danny Green,TOR,05/30/2019,TOR vs. GSW,W,30,11,4,9,44.4,3,7,42.9,0,0,-,1,1,2,1,1,2,0,1,2
Danny Green,TOR,05/25/2019,TOR vs. MIL,W,14,0,0,4,0,0,4,0,0,0,-,0,2,2,1,2,0,0,2,-7
Danny Green,TOR,05/23/2019,TOR @ MIL,W,16,0,0,3,0,0,3,0,0,0,-,0,1,1,0,1,0,0,0,-17
Danny Green,TOR,05/21/2019,TOR vs. MIL,W,25,4,2,5,40,0,2,0,0,0,-,1,0,1,1,1,1,1,4,10
Danny Green,TOR,05/19/2019,TOR vs. MIL,W,34,3,1,9,11.1,1,6,16.7,0,0,-,0,6,6,1,2,1,0,0,-3
Danny Green,TOR,05/17/2019,TOR @ MIL,L,22,8,2,6,33.3,2,4,50,2,2,100,1,3,4,0,1,1,0,0,-11
Danny Green,TOR,05/15/2019,TOR @ MIL,L,35,6,1,5,20,1,4,25,3,4,75,1,5,6,2,3,0,3,3,5
Danny Green,TOR,05/12/2019,TOR vs. PHI,W,30,2,1,3,33.3,0,1,0,0,0,-,1,3,4,1,1,1,0,2,-6
Danny Green,TOR,05/09/2019,TOR @ PHI,L,35,8,2,8,25,2,8,25,2,3,66.7,1,2,3,1,1,0,2,3,-9
Danny Green,TOR,05/07/2019,TOR vs. PHI,W,28,17,5,8,62.5,5,7,71.4,2,2,100,2,3,5,0,3,0,2,2,15
Danny Green,TOR,05/05/2019,TOR @ PHI,W,40,11,1,4,25,1,3,33.3,8,8,100,0,4,4,0,2,0,2,6,9
Danny Green,TOR,05/02/2019,TOR @ PHI,L,34,13,5,9,55.6,3,6,50,0,0,-,1,5,6,1,0,0,0,2,-8
Danny Green,TOR,04/29/2019,TOR vs. PHI,L,32,3,1,8,12.5,1,6,16.7,0,0,-,1,3,4,0,2,1,2,3,14
Danny Green,TOR,04/27/2019,TOR vs. PHI,W,32,7,2,5,40,1,4,25,2,2,100,0,3,3,1,0,0,1,3,18
Danny Green,TOR,04/23/2019,TOR vs. ORL,W,28,6,2,5,40,2,5,40,0,0,-,0,5,5,3,2,0,1,2,28
Danny Green,TOR,04/21/2019,TOR @ ORL,W,26,8,3,8,37.5,2,6,33.3,0,0,-,0,2,2,2,2,0,0,4,10
Danny Green,TOR,04/19/2019,TOR @ ORL,W,33,13,5,11,45.5,3,7,42.9,0,0,-,1,0,1,2,1,1,1,2,10
Danny Green,TOR,04/16/2019,TOR vs. ORL,W,22,0,0,4,0,0,3,0,0,0,-,0,6,6,2,0,1,1,3,23
Danny Green,TOR,04/13/2019,TOR vs. ORL,L,34,13,4,9,44.4,3,7,42.9,2,2,100,0,3,3,1,1,1,2,4,-8
Chris Boucher,TOR,05/21/2019,TOR vs. MIL,W,2,0,0,2,0,0,1,0,0,0,-,0,1,1,0,0,0,0,0,-5
Chris Boucher,TOR,05/17/2019,TOR @ MIL,L,2,5,2,3,66.7,1,2,50,0,1,0,0,0,0,0,0,1,0,0,0
